cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP05-091	ハクラビ	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	GR	3	4	3	先導・狂信		"
【守護】

ファンファーレ手札のアミュレット1枚を捨てる：自分のデッキから元のコスト1のアミュレット1枚を探し、場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-091
BP05-092	古き護り手	ビショップ		ブースターパック第5弾「永劫なる絶傑」	アミュレット	GR	3			偶像・光輝		"
これがある限り、自分はバトルに敗北せず、相手はバトルに勝利できない。

自分のリーダーの体力0以下になったとき、これを墓場に置く。自分のリーダーの体力を1にする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-092
BP05-093	安息の信者	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	SR	2	2	2	絶傑・狂信		"
相手のメインフェイズが来たとき、相手の場のフォロワー1体を選ぶ。それに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-093
BP05-094	不定の実験体	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	SR	5	3	7	狂信		"
進化コスト2：これは進化する。

自分がスタートフェイズ以外で1枚引いたとき、これは攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-094
BP05-095	不定の実験体	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー・エボルヴ	SR		3	7	狂信		"
自分がスタートフェイズ以外で1枚引いたとき、これは攻撃力+1/体力+1する。

【進化時】2枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-095
BP05-096	銀車の回し手	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	SR	4	5	4	先導・光輝		"
ファンファーレ自分の手札が5枚以上なら、自分のPPを2回復する。自分の手札が5枚以下なら、1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-096
BP05-097	安息の従者	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	BR	2	2	3	絶傑・狂信		"
相手のメインフェイズが来たとき、自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-097
BP05-098	悪魔のエピタフ	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	BR	2	2	3	偶像・超克		"
進化手札1枚を捨てる：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-098
BP05-099	悪魔のエピタフ	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー・エボルヴ	BR		3	4	偶像・超克		"
【必殺】

ラストワード相手のリーダーすべてに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-099
BP05-100	救世主	ビショップ		ブースターパック第5弾「永劫なる絶傑」	スペル	BR	1			絶傑・狂信		"
下記から1つチョイスする。【1】自分のデッキから『安息の絶傑・マーウィン』1枚を探し、手札に加える。【2】体力2以下の相手の場のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-100
BP05-101	安息の領域	ビショップ		ブースターパック第5弾「永劫なる絶傑」	アミュレット	BR	1			絶傑・狂信		"
Q起動これをアクト墓場に置く：このターン、自分のリーダーが受ける5以上のダメージを4にする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-101
BP05-102	古代の増幅器	ビショップ		ブースターパック第5弾「永劫なる絶傑」	アミュレット	BR	3			偶像・超克		"
ファンファーレ『ミスティックアーティファクト』1体を出す。

起動コスト1これをアクト墓場に置く：自分の場のトークン・フォロワー1体を選ぶ。それは攻撃力+2/体力+1する。

―――――――――――――――

『ミスティックアーティファクト』ニュートラル超克・フォロワーコスト3攻撃力2/体力3【守護】ファンファーレ1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-102
BP05-LD06	黄金姫・リテュエル	ビショップ		ブースターパック第5弾「永劫なる絶傑」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP05-LD06
BP06-090	グランドナイト・ウィルバート	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	LG	5	4	5	挑戦者・先導		"
【守護】

自分の【守護】を持つフォロワーが場から墓場に置かれたとき、相手のリーダーすべてに1ダメージ。

ファンファーレ自分のデッキの上5枚を見る。その中から、「これと同名を除く元のコスト5以下の【守護】を持つフォロワー」1枚を場に出してよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-090
BP06-091	アーツマスター・カルラ	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	LG	3	3	3	挑戦者・信仰		"
進化コスト1：これは進化する。

自分のエンドフェイズが来たとき、自分の残りPPが2以上なら、相手のリーダーすべてに2ダメージ。自分の残りPPが4以上なら、1枚引く。自分の残りPPが6以上なら、相手の場のフォロワー1体まで選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-091
BP06-092	アーツマスター・カルラ	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー・エボルヴ	LG		4	4	挑戦者・信仰		"
自分のエンドフェイズが来たとき、自分のPPを2回復する。その後、自分の残りPPが2以上なら、相手のリーダーすべてに2ダメージ。自分の残りPPが4以上なら、1枚引く。自分の残りPPが6以上なら、相手の場のフォロワー1体まで選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-092
BP06-093	神聖なる先導者	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	GR	3	2	4	先導		"
【守護】

起動これをアクト墓場の【守護】を持つフォロワー3枚を消滅：相手の場のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-093
BP06-094	鋼刃の暗器使い	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	GR	2	2	2	信仰		"
進化コスト1：これは進化する。

自分のエンドフェイズが来たとき、自分の残りPPが2以上なら、相手の場のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-094
BP06-095	鋼刃の暗器使い	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー・エボルヴ	GR		3	3	信仰		"
自分のエンドフェイズが来たとき、自分の残りPPが2以上なら、相手の場のフォロワー1体を選ぶ。それに2ダメージ。

【進化時】相手の場のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-095
BP06-096	崇拝の実現	ビショップ		ブースターパック第6弾「絶対なる覇者」	スペル	GR	5			信仰		"
自分のデッキの上7枚を見る。その中から、元のコスト5以下のアミュレットと元のコスト3以下のアミュレットそれぞれ1枚まで場に出してよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-096
BP06-097	聖なる槍使い	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	SR	5	3	4	先導		"
進化コスト1：これは進化する。

【守護】

ファンファーレ自分の場に他の【守護】を持つフォロワーがいるなら、相手の場のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-097
BP06-098	聖なる槍使い	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー・エボルヴ	SR		4	5	先導		"
【守護】

【進化時】相手の場のフォロワー1体を選ぶ。それに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-098
BP06-099	ブーストキッカー	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	SR	2	2	2	信仰		"
自分のエンドフェイズが来たとき、自分のPPを1回復する。

ファンファーレコストX：相手の場のフォロワーすべてにXダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-099
BP06-100	フェザーサンクチュアリ	ビショップ		ブースターパック第6弾「絶対なる覇者」	アミュレット	SR	5			信仰・鳥族		"
ファンファーレ『ホーリーファルコン』1体を出す。

起動これをアクト場のアミュレット1つを墓場に置く：『ホーリーファルコン』1体を出す。

―――――――――――――――

『ホーリーファルコン』ビショップ鳥族・フォロワーコスト3攻撃力2/体力2【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-100
BP06-101	聖杖の司祭	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	BR	2	2	2	先導		"
【守護】

ラストワード自分のデッキから『聖杖の司祭』1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-101
BP06-102	重力の柔術士	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	BR	3	3	3	信仰		"
自分のエンドフェイズが来たとき、自分の残りPPが2以上なら、『ミスティックアーティファクト』1体を出す。

―――――――――――――――

『ミスティックアーティファクト』ニュートラル超克・フォロワーコスト3攻撃力2/体力3【守護】ファンファーレ1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-102
BP06-103	バレッジスマッシャー	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー	BR	1	0	1	信仰		"
進化手札1枚を捨てる：これは進化する。

自分のエンドフェイズが来たとき、自分の残りPPが2以上なら、相手のリーダー1人を選ぶ。それに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-103
BP06-104	バレッジスマッシャー	ビショップ		ブースターパック第6弾「絶対なる覇者」	フォロワー・エボルヴ	BR		1	2	信仰		"
自分のエンドフェイズが来たとき、自分の残りPPが2以上なら、相手のリーダー1人を選ぶ。それに1ダメージ。

【進化時】自分のPPを2回復する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-104
BP06-105	セイクリッドカウンター	ビショップ		ブースターパック第6弾「絶対なる覇者」	スペル	BR	1			先導		"
クイック

これは自分のターン中、プレイできない。

アクト状態の相手の場のフォロワー1体を選ぶ。それに2ダメージ。自分の場に【守護】を持つフォロワーがいるなら、代わりに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-105
BP06-106	コンセントレイト	ビショップ		ブースターパック第6弾「絶対なる覇者」	スペル	BR	0			信仰		"
クイック

これは自分のターン中、プレイできない。

自分の残りPPが2以上なら、自分のリーダーは体力+1する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP06-106
BP07-086	欠落の聖女・リモニウム	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	LG	3	3	2	機械・信仰・狂信・偶像		"
進化コスト7：これは進化する。

ファンファーレ『リペアモード』1枚をEXエリアに置く。

起動EXエリアの『リペアモード』1枚を消滅：このターン、これの進化コストを-1する。

―――――――――――――――

『リペアモード』ニュートラル機械・スペルコスト1クイック自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-086
BP07-087	欠落の聖女・リモニウム	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー・エボルヴ	LG		5	4	機械・信仰・狂信・偶像		"
【進化時】相手の場のフォロワーすべてを破壊する。

起動コスト0：自分の墓場の元のコスト2以下の機械・フォロワー1枚を選ぶ。それを場に出す。この能力は1ターンに1回使える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-087
BP07-088	輝く熾天使・ラピス	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	LG	5	3	7	信仰・先導・光輝		"
【守護】

これが場を離れたとき、これに置かれていた祈りカウンター1つにつき、1枚引く。

自分のエンドフェイズが来たとき、自分の場のカード1枚を選ぶ。それに祈りカウンター1つを置く。自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-088
BP07-089	メタリックファーザー	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	GR	5	4	4	機械・信仰・狂信		"
【突進】

【攻撃時】1枚引く。自分のEXエリアの『リペアモード』が5枚なら、代わりに2枚。

ファンファーレ『リペアモード』2枚をEXエリアに置く。自分のPPを2回復する。

―――――――――――――――

『リペアモード』ニュートラル機械・スペルコスト1クイック自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-089
BP07-090	均衡の光・マーロン	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	GR	3	3	3	信仰		"
進化コスト1：これは進化する。

ファンファーレ各プレイヤーは『リペアモード』1枚をEXエリアに置く。

―――――――――――――――

『リペアモード』ニュートラル機械・スペルコスト1クイック自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-090
BP07-091	均衡の光・マーロン	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー・エボルヴ	GR		4	4	信仰		"
【進化時】元のコストX以下の相手の場のフォロワー1体を選ぶ。それを破壊する。Xは「自分のEXエリアのカードの枚数」である。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-091
BP07-092	機構の解放	ビショップ		ブースターパック第7弾「森羅鋼鉄」	スペル	GR	2			機械・信仰		"
下記から1つチョイスする。【1】EXエリアの『リペアモード』2枚を消滅：自分のデッキから元のコスト3以下の機械・フォロワー1枚を探し、場に出す。【2】EXエリアの『リペアモード』5枚を消滅：自分のデッキから元のコスト6以下の機械・フォロワー1枚を探し、場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-092
BP07-093	ラビッティアアドミニスター	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	SR	2	2	1	獣・童話		"
ファンファーレこれが手札以外から場に出ていたなら、相手の場のフォロワー1体を選ぶ。それに3ダメージ。

起動コスト1手札のこれを捨てる：自分のリーダーは体力+1する。これを自分のデッキの上から3番目に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-093
BP07-094	マシンファルコン	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	SR	2	1	3	機械・鳥族		"
進化コスト1：これは進化する。

【疾走】

【攻撃時】『リペアモード』1枚をEXエリアに置く。その後、自分のEXエリアの『リペアモード』が3枚以上なら、これは攻撃力+1する。

―――――――――――――――

『リペアモード』ニュートラル機械・スペルコスト1クイック自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-094
BP07-095	マシンファルコン	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー・エボルヴ	SR		2	4	機械・鳥族		"
【疾走】

【攻撃時】『リペアモード』1枚をEXエリアに置く。その後、自分のEXエリアの『リペアモード』が3枚以上なら、これは攻撃力+1する。

【進化時】『リペアモード』1枚をEXエリアに置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-095
BP07-096	異端の修道女・メルコット	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	SR	2	1	3	狂信		"
【守護】

ファンファーレ1枚引く。自分のEXエリアのカードが5枚なら、代わりに自分のデッキからカード1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-096
BP07-097	鉄腕の修道女	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	BR	2	2	3	機械・信仰		"
【守護】

ファンファーレラストワード『リペアモード』1枚をEXエリアに置く。

―――――――――――――――

『リペアモード』ニュートラル機械・スペルコスト1クイック自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-097
BP07-098	ブラックビショップ	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	BR	4	3	3	信仰・童話		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-098
BP07-099	ブラックビショップ	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー・エボルヴ	BR		4	4	信仰・童話		"
【進化時】自分のデッキの上5枚を見る。その中から、元のコスト5以下の童話・フォロワーか元のコスト5以下の童話・アミュレット1枚を場に出してよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-099
BP07-100	森の参謀・ムニャール	ビショップ		ブースターパック第7弾「森羅鋼鉄」	フォロワー	BR	2	1	3	自然・光輝・獣		"
【疾走】

【攻撃時】相手のリーダー1人か相手の場のフォロワー1体を選ぶ。それに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-100
BP07-101	セイント・コア	ビショップ		ブースターパック第7弾「森羅鋼鉄」	アミュレット	BR	1			機械		"
ファンファーレ自分のデッキの上2枚を見る。その中から、機械・カード1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。

起動これをアクト墓場に置く：『リペアモード』1枚をEXエリアに置く。この能力は自分の場の機械・フォロワーが2体以上なら使える。

―――――――――――――――

『リペアモード』ニュートラル機械・スペルコスト1クイック自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-101
BP07-102	ムニャール登場	ビショップ		ブースターパック第7弾「森羅鋼鉄」	アミュレット	BR	1			自然・光輝・獣		"
ファンファーレ自分のデッキの上3枚を見る。その中から、ビショップフォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。

起動コスト1これをアクト墓場に置く：自分の手札の「カード名に『ムニャール』を含むフォロワー」1枚を場に出してよい。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP07-102
BP07-LD03	密やかなる従者・ソニア	ビショップ		ブースターパック第7弾「森羅鋼鉄」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP07-LD03
BP08-086	聖騎士・ヘクター	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	LG	7	5	6	信仰・先導・光輝		"
【守護】

これがいる限り、自分の場のビショップフォロワーすべては【突進】を持つ。

ファンファーレ自分の墓場の元のコスト2以下のビショップフォロワー2枚まで選ぶ。それを場に出す。

起動墓場のビショップフォロワー3枚を消滅：自分の場の他のフォロワーすべては攻撃力+1/体力+1する。この能力は1ターンに1回使える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-086
BP08-087	神の盾・ブローディア	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	LG	7	4	4	信仰・光輝		"
進化コスト1：これは進化する。

【守護】

ファンファーレ自分のリーダーは体力+Xする。Xは「自分の場のアミュレットの数の2倍」である。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-087
BP08-088	神の盾・ブローディア	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー・エボルヴ	LG		5	5	信仰・光輝		"
【守護】

【進化時】相手の場のフォロワー1体を選ぶ。それとそれのリーダーに「自分の場のアミュレットの数」の2倍のダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-088
BP08-089	狂信の偶像	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	GR	2	0	3	狂信・偶像		"
進化コスト2：これは進化する。

ファンファーレ自分の場のアミュレットが3つ以上なら、このターン、これの進化コストを0にする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-089
BP08-090	狂信の偶像	ビショップ		ブースターパック第8弾「次元混沌」	アミュレット・エボルヴ	GR				狂信・偶像		"
【進化時】相手の場のフォロワー1体を選ぶ。それを消滅させる。

ラストワード相手のリーダーすべてに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-090
BP08-091	セクメト	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	GR	2	2	3	信仰・獣		"
起動これをアクト場のアミュレット1つを墓場に置く：相手の場のフォロワー1体を選ぶ。それに4ダメージ。それのリーダーに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-091
BP08-092	射殺す輝き	ビショップ		ブースターパック第8弾「次元混沌」	スペル	GR	2			狂信・キラー		"
クイック

これは自分のターン中、プレイできない。

相手の場のフォロワー2体まで選ぶ。それに4ダメージを割りふる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-092
BP08-093	セイントガンナー・コレット	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	SR	2	2	1	信仰		"
進化コスト2：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-093
BP08-094	セイントガンナー・コレット	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー・エボルヴ	SR		3	2	信仰		"
【進化時】相手プレイヤーすべては、自身の場のフォロワー1体を墓場に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-094
BP08-095	戦場の審問官	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	SR	8	5	5	狂信・キラー		"
ファンファーレ相手の場のカード2枚まで選ぶ。それを破壊する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-095
BP08-096	安息の顕現	ビショップ		ブースターパック第8弾「次元混沌」	スペル	SR	2			絶傑・狂信		"
これをプレイする際、自分の場に『安息の絶傑・マーウィン』がいるなら、コストを-2する。

自分の場のフォロワー1体を選ぶ。それは体力+2する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-096
BP08-097	イビルアルミラージ	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	BR	2	2	3	狂信・獣・キラー		"
【守護】

ファンファーレ自分のデッキの上1枚を墓場に置く。【守護】を持つフォロワーを墓場に置いたなら、これは【必殺】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-097
BP08-098	安息の狂信者	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	BR	4	0	4	絶傑・狂信・キラー		"
相手のメインフェイズが来たとき、体力4以下の相手の場のフォロワー1体を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-098
BP08-099	神殿の風熊	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	BR	2	1	2	信仰・獣		"
進化コスト2：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-099
BP08-100	神殿の風熊	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー・エボルヴ	BR		2	3	信仰・獣		"
【進化時】『ホーリータイガー』1体を出す。自分の場のアミュレットが2つ以上なら、1枚引く。

―――――――――――――――

『ホーリータイガー』ビショップ獣・フォロワーコスト4攻撃力4/体力4【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-100
BP08-101	機構二輪の天使	ビショップ		ブースターパック第8弾「次元混沌」	フォロワー	BR	4	3	4	信仰・超克		"
【守護】

ファンファーレ『ミスティックアーティファクト』1体を出す。

―――――――――――――――

『ミスティックアーティファクト』ニュートラル超克・フォロワーコスト3攻撃力2/体力3【守護】ファンファーレ1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-101
BP08-102	いにしえの聖域	ビショップ		ブースターパック第8弾「次元混沌」	アミュレット	BR	3			信仰・偶像		"
ファンファーレ『ホーリータイガー』1体を出す。

ラストワード自分のリーダーは体力+2する。

―――――――――――――――

『ホーリータイガー』ビショップ獣・フォロワーコスト4攻撃力4/体力4【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP08-102
BP09-086	希望導く聖乙女・ジャンヌ	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー	LG	3	2	3	信仰・先導		"
進化コスト1：これは進化する。

ファンファーレ1枚引く。自分の墓場の「カード名に『ジャンヌ』を含むフォロワー」が2枚以上なら、これは攻撃力+1/体力+1して、【疾走】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-086
BP09-087	希望導く聖乙女・ジャンヌ	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー・エボルヴ	LG		3	4	信仰・先導		"
【攻撃時】自分の場の元のコスト2以下のビショップフォロワー1体を選ぶ。それは攻撃力+1する。

【進化時】自分の手札の元のコスト2以下のビショップフォロワー1枚を場に出してよい。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-087
BP09-088	ツタンカーメン	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー	LG	4	5	4	信仰・先導		"
【守護】

ファンファーレ1枚引く。自分の手札1枚をデッキの下に置く。

ラストワードコスト1：自分のデッキから『ツタンカーメン』1枚を探し、アクト状態で場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-088
BP09-089	ケリュネイア	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー	GR	4	4	4	信仰・獣		"
進化コスト1：これは『明転の牝鹿・ケリュネイア』か『暗転の牝鹿・ケリュネイア』に進化する。

ファンファーレ自分のデッキの上5枚を見る。その中から、アミュレット1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-089
BP09-090	明転の牝鹿・ケリュネイア	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー・エボルヴ	GR		5	5	信仰・獣・光輝 / 信仰・獣・キラー		"
【守護】

【進化時】場のアミュレット1つを墓場に置く：自分のリーダーは体力+4する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-090
BP09-091	ヘヴンリーナイト	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー	GR	5	3	7	信仰・偶像		"
【疾走】【守護】

ファンファーレ自分の場のアミュレットが2つ以上なら、これは攻撃力+2する。自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-091
BP09-092	天狐の社	ビショップ		ブースターパック第9弾「光影の二重奏」	アミュレット	GR	4			信仰・獣		"
自分のリーダーの体力を+したとき、これをアクト：相手のリーダー1人か相手の場のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-092
BP09-093	宝石の巫女	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー	SR	2	2	2	信仰・光輝		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-093
BP09-094	宝石の巫女	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー・エボルヴ	SR		3	3	信仰・光輝		"
ターンごとに1回、自分の場にアミュレットが出たとき、自分のリーダーは体力+1する。

【進化時】自分の手札の元のコスト2以下のアミュレット1枚を場に出してよい。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-094
BP09-095	白牙の神殿	ビショップ		ブースターパック第9弾「光影の二重奏」	アミュレット	SR	3			信仰・獣		"
自分のエンドフェイズが来たとき、これに祈りカウンター1つを置く。自分のリーダーは体力+1する。

自分のメインフェイズが来たとき、これの祈りカウンターが3つ以上なら、これを墓場に置く。自分のデッキから元のコスト4以下の信仰・フォロワー1枚を探し、場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-095
BP09-096	相克の翼像	ビショップ		ブースターパック第9弾「光影の二重奏」	アミュレット	SR	4			偶像・鳥族		"
ファンファーレ自分のデッキから『純白の聖鳥』1枚を探し、場に出す。

ファンファーレ場の他のアミュレット1つを墓場に置く：自分のデッキから、『漆黒の魔鳥』1枚を探し、場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-096
BP09-097	リュカオン	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー	BR	6	5	5	狂信・獣		"
進化コスト1：これは進化する。

ファンファーレ手札のアミュレット1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに5ダメージ。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-097
BP09-098	リュカオン	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー・エボルヴ	BR		6	6	狂信・獣		"
【進化時】手札のアミュレット1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに5ダメージ。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-098
BP09-099	純白の聖鳥	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー	BR	3	3	4	信仰・鳥族		"
【守護】

ファンファーレ自分の場にアミュレットがあるなら、自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-099
BP09-100	漆黒の魔鳥	ビショップ		ブースターパック第9弾「光影の二重奏」	フォロワー	BR	3	4	3	狂信・鳥族		"
【突進】

ファンファーレ自分の場にアミュレットがあるなら、相手のリーダーすべてに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP09-100
